Security Policy: KRIS10-PUBFW-Rule	-
283	UDP_2404
-	TCP_6200
-	TCP_1700_60s
284	UDP_2404
-	TCP_6200
-	TCP_1700
285	TCP_3306_60s
-	-
-	-
286	MySQL
-	-
-	-
-	-
-	-
287	TCP_8655
-	TCP_8656
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
288	TCP_1700
-	-
-	-
289	MySQL
-	-
-	-
-	-
-	-
290	TCP_1700
-	-
-	-
291	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
292	TCP_8655
-	TCP_8656
-	TCP_8654
-	TCP_8653
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
293	TCP_1700
-	TCP_8655
-	MySQL
-	-
-	-
294	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
295	ssh
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
296	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
297	TCP_1700
-	-
-	-
-	-
298	TCP_1700
-	-
-	-
-	-
299	TCP_2181
-	TCP_9000
-	TCP_9092
-	TCP_9999
-	TCP_10000
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
300	MySQL
-	-
-	-
-	-
-	-
-	-
301	TCP_1700
-	-
-	-
-	-
